N	Z	Atomic	Ma	
1	0	1	008664	9157
0	1	1	007825	03207
1	1	2	014101	7778
2	1	3	016049	2777
1	2	3	016029	3191
0	3	3	030780#	
3	1	4	027810	
2	2	4	002603	25415
1	3	4	027190	
4	1	5	035310	
3	2	5	012220	
2	3	5	012540	
1	4	5	040790#	
5	1	6	044940	
4	2	6	018889	1
3	3	6	015122	795
2	4	6	019726	
1	5	6	046810#	
6	1	7	052750#	
5	2	7	028021	
4	3	7	016004	55
3	4	7	016929	83
2	5	7	029920	
6	2	8	033922	
5	3	8	022487	36
4	4	8	005305	10
3	5	8	024607	2
2	6	8	037675	
7	2	9	043950	
6	3	9	026789	5
5	4	9	012182	2
4	5	9	013328	8
3	6	9	031036	7
8	2	10	052400	
7	3	10	035481	
6	4	10	013533	8
5	5	10	012937	0
4	6	10	016853	2
3	7	10	041650	
8	3	11	043798	
7	4	11	021658	
6	5	11	009305	4
5	6	11	011433	6
4	7	11	026090	
9	3	12	053780#	
8	4	12	026921	
7	5	12	014352	1
6	6	12	000000	0
5	7	12	018613	2
4	8	12	034405	
9	4	13	035690	
8	5	13	017780	2
7	6	13	003354	8378
6	7	13	005738	61
5	8	13	024812	
10	4	14	042890	
9	5	14	025404	
8	6	14	003241	989
7	7	14	003074	0048
6	8	14	008596	25
5	9	14	035060#	
11	4	15	053460#	
10	5	15	031103	
9	6	15	010599	3
8	7	15	000108	8982
7	8	15	003065	6
6	9	15	018010	
12	4	16	061920#	
11	5	16	039810	
10	6	16	014701	
9	7	16	006101	7
8	8	15	994914	61956
7	9	16	011466	
6	10	16	025761	
12	5	17	046990	
11	6	17	022586	
10	7	17	008450	
9	8	16	999131	70
8	9	17	002095	24
7	10	17	017672	
13	5	18	056170#	
12	6	18	026760	
11	7	18	014079	
10	8	17	999161	0
9	9	18	000938	0
8	10	18	005708	2
7	11	18	025970	
14	5	19	063730#	
13	6	19	034810	
12	7	19	017029	
11	8	19	003580	
10	9	18	998403	22
9	10	19	001880	2
8	11	19	013877	
7	12	19	035470	
14	6	20	040320	
13	7	20	023370	
12	8	20	004076	7
11	9	19	999981	32
10	10	19	992440	1754
9	11	20	007351	
8	12	20	018863	
15	6	21	049340#	
14	7	21	027110	
13	8	21	008656	
12	9	20	999949	0
11	10	20	993846	68
10	11	20	997655	2
9	12	21	011713	
8	13	21	028040#	
16	6	22	057200#	
15	7	22	034390	
14	8	22	009970	
13	9	22	002999	
12	10	21	991385	114
11	11	21	994436	4
10	12	21	999573	8
9	13	22	019520#	
8	14	22	034530#	
16	7	23	041220#	
15	8	23	015690	
14	9	23	003570	
13	10	22	994466	90
12	11	22	989769	2809
11	12	22	994123	7
10	13	23	007267	
9	14	23	025520#	
17	7	24	051040#	
16	8	24	020470	
15	9	24	008120	
14	10	23	993610	8
13	11	23	990962	78
12	12	23	985041	700
11	13	23	999938	9
10	14	24	011546	
9	15	24	034350#	
18	7	25	060660#	
17	8	25	029460#	
16	9	25	012100	
15	10	24	997737	
14	11	24	989954	0
13	12	24	985836	92
12	13	24	990428	1
11	14	25	004106	
10	15	25	020260#	
18	8	26	038340#	
17	9	26	019620	
16	10	26	000461	
15	11	25	992633	
14	12	25	982592	929
13	13	25	986891	69
12	14	25	992330	
11	15	26	011780#	
10	16	26	027880#	
19	8	27	048260#	
18	9	27	026760	
17	10	27	007590	
16	11	26	994077	
15	12	26	984340	59
14	13	26	981538	63
13	14	26	986704	91
12	15	26	999230	
11	16	27	018830#	
20	8	28	057810#	
19	9	28	035670#	
18	10	28	012070	
17	11	27	998938	
16	12	27	983876	8
15	13	27	981910	31
14	14	27	976926	5325
13	15	27	992315	
12	16	28	004370	
11	17	28	028510#	
20	9	29	043260#	
19	10	29	019390	
18	11	29	002861	
17	12	28	988600	
16	13	28	980445	0
15	14	28	976494	700
14	15	28	981800	6
13	16	28	996610	
12	17	29	014110#	
21	9	30	052500#	
20	10	30	024800	
19	11	30	008976	
18	12	29	990434	
17	13	29	982960	
16	14	29	973770	17
15	15	29	978313	8
14	16	29	984903	
13	17	30	004770#	
12	18	30	021560#	
22	9	31	060430#	
21	10	31	033110#	
20	11	31	013590	
19	12	30	996546	
18	13	30	983947	
17	14	30	975363	23
16	15	30	973761	63
15	16	30	979554	7
14	17	30	992410	
13	18	31	012120#	
22	10	32	040020#	
21	11	32	020470	
20	12	31	998975	
19	13	31	988120	
18	14	31	974148	08
17	15	31	973907	27
16	16	31	972071	00
15	17	31	985690	
14	18	31	997638	0
13	19	32	021920#	
23	10	33	049380#	
22	11	33	026720	
21	12	33	005254	
20	13	32	990840	
19	14	32	978000	
18	15	32	971725	5
17	16	32	971458	76
16	17	32	977451	9
15	18	32	989925	7
14	19	33	007260#	
24	10	34	057030#	
23	11	34	035170#	
22	12	34	009460	
21	13	33	996850	
20	14	33	978576	
19	15	33	973636	
18	16	33	967866	90
17	17	33	973762	82
16	18	33	980271	2
15	19	33	998410#	
14	20	34	014120#	
24	11	35	042490#	
23	12	35	017340#	
22	13	34	999860	
21	14	34	984580	
20	15	34	973314	1
19	16	34	969032	16
18	17	34	968852	68
17	18	34	975257	6
16	19	34	988010	
15	20	35	004940#	
25	11	36	051480#	
24	12	36	023000#	
23	13	36	006210	
22	14	35	986600	
21	15	35	978260	
20	16	35	967080	76
19	17	35	968306	98
18	18	35	967545	106
17	19	35	981292	
16	20	35	993090	
15	21	36	014920#	
26	11	37	059340#	
25	12	37	031400#	
24	13	37	010680	
23	14	36	992940	
22	15	36	979610	
21	16	36	971125	57
20	17	36	965902	59
19	18	36	966776	32
18	19	36	973375	89
17	20	36	985870	
16	21	37	003050#	
26	12	38	037570#	
25	13	38	017230	
24	14	37	995630	
23	15	37	984160	
22	16	37	971163	
21	17	37	968010	43
20	18	37	962732	4
19	19	37	969081	2
18	20	37	976318	
17	21	37	994700#	
16	22	38	009770#	
27	12	39	046770#	
26	13	39	022970	
25	14	39	002070	
24	15	38	986180	
23	16	38	975130	
22	17	38	968008	2
21	18	38	964313	
20	19	38	963706	68
19	20	38	970719	7
18	21	38	984790	
17	22	39	001610#	
28	12	40	053930#	
27	13	40	031450#	
26	14	40	005870	
25	15	39	991300	
24	16	39	975450	
23	17	39	970420	
22	18	39	962383	1225
21	19	39	963998	48
20	20	39	962590	98
19	21	39	977967	
18	22	39	990500	
17	23	40	011090#	
28	13	41	038330#	
27	14	41	014560	
26	15	40	994340	
25	16	40	979580	
24	17	40	970680	
23	18	40	964500	6
22	19	40	961825	76
21	20	40	962278	06
20	21	40	969251	13
19	22	40	983150#	
18	23	40	999780#	
29	13	42	046890#	
28	14	42	019790#	
27	15	42	001010	
26	16	41	981020	
25	17	41	973250	
24	18	41	963046	
23	19	41	962402	81
22	20	41	958618	01
21	21	41	965516	43
20	22	41	973031	
19	23	41	991230#	
18	24	42	006430#	
29	14	43	028660#	
28	15	43	006190	
27	16	42	987150	
26	17	42	974050	
25	18	42	965636	
24	19	42	960716	
23	20	42	958766	6
22	21	42	961150	7
21	22	42	968522	
20	23	42	980650#	
19	24	42	997710#	
30	14	44	035260#	
29	15	44	012990#	
28	16	43	990210	
27	17	43	978280	
26	18	43	964924	0
25	19	43	961560	
24	20	43	955481	8
23	21	43	959402	8
22	22	43	959690	1
21	23	43	974110	
20	24	43	985550#	
19	25	44	006870#	
30	15	45	019220#	
29	16	44	996510	
28	17	44	980290	
27	18	44	968040	0
26	19	44	960699	
25	20	44	956186	6
24	21	44	955911	9
23	22	44	958125	6
22	23	44	965776	
21	24	44	979640	
20	25	44	994510#	
19	26	45	014580#	
31	15	46	027380#	
30	16	46	000750#	
29	17	45	984210	
28	18	45	968090	
27	19	45	961977	
26	20	45	953692	6
25	21	45	955171	9
24	22	45	952631	6
23	23	45	960200	5
22	24	45	968359	
21	25	45	986720#	
20	26	46	000810#	
31	16	47	008590#	
30	17	46	988710#	
29	18	46	972190	
28	19	46	961678	
27	20	46	954546	0
26	21	46	952407	5
25	22	46	951763	1
24	23	46	954908	9
23	24	46	962900	
22	25	46	976100#	
21	26	46	992890#	
20	27	47	011490#	
32	16	48	014170#	
31	17	47	994950#	
30	18	47	974540#	
29	19	47	965514	
28	20	47	952534	
27	21	47	952231	
26	22	47	947946	3
25	23	47	952253	7
24	24	47	954032	
23	25	47	968520	
22	26	47	980500#	
21	27	48	001760#	
20	28	48	019750#	
33	16	49	023620#	
32	17	49	000320#	
31	18	48	980520#	
30	19	48	967450	
29	20	48	955674	
28	21	48	950024	
27	22	48	947870	0
26	23	48	948516	1
25	24	48	951335	7
24	25	48	959618	
23	26	48	973610#	
22	27	48	989720#	
21	28	49	009660#	
33	17	50	007840#	
32	18	49	984430#	
31	19	49	972780	
30	20	49	957519	
29	21	49	952188	
28	22	49	944791	2
27	23	49	947158	5
26	24	49	946044	2
25	25	49	954238	2
24	26	49	962990	
23	27	49	981540#	
22	28	49	995930#	
34	17	51	014490#	
33	18	50	991630#	
32	19	50	976380#	
31	20	50	961500	
30	21	50	953603	
29	22	50	946615	0
28	23	50	943959	5
27	24	50	944767	4
26	25	50	948210	8
25	26	50	956820	
24	27	50	970720#	
23	28	50	987720#	
34	18	51	996780#	
33	19	51	982610#	
32	20	51	965100	
31	21	51	956680	
30	22	51	946897	
29	23	51	944775	5
28	24	51	940507	5
27	25	51	945565	5
26	26	51	948114	
25	27	51	963590#	
24	28	51	975680#	
23	29	51	997180#	
35	18	53	004940#	
34	19	52	987120#	
33	20	52	970050#	
32	21	52	959610#	
31	22	52	949730	
30	23	52	944338	
29	24	52	940649	4
28	25	52	941290	1
27	26	52	945307	9
26	27	52	954219	
25	28	52	968470#	
24	29	52	985550#	
35	19	53	994200#	
34	20	53	974350#	
33	21	53	963260	
32	22	53	951050	
31	23	53	946440	
30	24	53	938880	4
29	25	53	940358	9
28	26	53	939610	5
27	27	53	948459	6
26	28	53	957910	
25	29	53	976710#	
24	30	53	992950#	
36	19	54	999710#	
35	20	54	980550#	
34	21	54	968240	
33	22	54	955270	
32	23	54	947230	
31	24	54	940839	7
30	25	54	938045	1
29	26	54	938293	4
28	27	54	941999	0
27	28	54	951330	
26	29	54	966050#	
25	30	54	983980#	
36	20	55	985570#	
35	21	55	972870#	
34	22	55	958200	
33	23	55	950530	
32	24	55	940653	1
31	25	55	938904	9
30	26	55	934937	5
29	27	55	939839	3
28	28	55	942132	
27	29	55	958560#	
26	30	55	972380#	
25	31	55	994910#	
37	20	56	992360#	
36	21	56	977790#	
35	22	56	963990	
34	23	56	952560	
33	24	56	943613	0
32	25	56	938285	4
31	26	56	935394	0
30	27	56	936291	4
29	28	56	939793	5
28	29	56	949211	
27	30	56	964790#	
26	31	56	982930#	
37	21	57	983710#	
36	22	57	966970#	
35	23	57	956830	
34	24	57	944350	
33	25	57	939980	
32	26	57	933275	6
31	27	57	935752	8
30	28	57	935342	9
29	29	57	944538	5
28	30	57	954590	
27	31	57	974250#	
26	32	57	991010#	
38	21	58	989220#	
37	22	58	972930#	
36	23	58	960210	
35	24	58	948590	
34	25	58	940440	
33	26	58	934875	5
32	27	58	933195	0
31	28	58	934346	7
30	29	58	939498	0
29	30	58	949260	
28	31	58	963370#	
27	32	58	981750#	
39	21	59	995710#	
38	22	59	976760#	
37	23	59	965030	
36	24	59	950080	
35	25	59	942910	
34	26	59	934072	
33	27	59	933817	1
32	28	59	930786	4
31	29	59	937365	0
30	30	59	941827	
29	31	59	957060#	
28	32	59	970190#	
27	33	59	993130#	
39	22	60	983200#	
38	23	60	968480#	
37	24	60	954720	
36	25	60	944650	
35	26	60	936745	
34	27	60	932475	8
33	28	60	931056	0
32	29	60	933457	8
31	30	60	939511	
30	31	60	949450	
29	32	60	963790#	
28	33	60	980620#	
40	22	61	987490#	
39	23	61	973780#	
38	24	61	956610	
37	25	61	948430	
36	26	61	936767	
35	27	61	934051	
34	28	61	928345	1
33	29	61	932584	
32	30	61	934330	
31	31	61	944175	
30	32	61	954650#	
29	33	61	973200#	
41	22	62	994420#	
40	23	62	977550#	
39	24	62	961860#	
38	25	62	950240	
37	26	62	940370	
36	27	62	933612	
35	28	62	929669	4
34	29	62	929597	5
33	30	62	933211	6
32	31	62	939294	2
31	32	62	949640#	
30	33	62	963690#	
41	23	63	983470#	
40	24	63	964410#	
39	25	63	954250	
38	26	63	941200	
37	27	63	935810	
36	28	63	927966	0
35	29	63	929764	2
34	30	63	929142	2
33	31	63	936838	7
32	32	63	941650	
31	33	63	957570#	
42	23	64	987920#	
41	24	64	970160#	
40	25	64	956340	
39	26	64	945380	
38	27	64	936478	
37	28	64	930084	3
36	29	64	927789	5
35	30	64	929241	0
34	31	64	932734	8
33	32	64	939440	
32	33	64	949560#	
31	34	64	964660#	
42	24	65	973380#	
41	25	65	961080#	
40	26	65	946780	
39	27	65	939760	
38	28	65	929139	3
37	29	65	928868	8
36	30	65	926033	4
35	31	65	931589	
34	32	65	933840	
33	33	65	944710	
32	34	65	955210#	
43	24	66	979550#	
42	25	66	964140#	
41	26	66	950950	
40	27	66	940890	
39	28	66	931569	
38	29	66	927730	3
37	30	66	927127	3
36	31	66	928201	7
35	32	66	932734	
34	33	66	939190	
33	34	66	950090#	
32	35	66	964790#	
43	25	67	969300#	
42	26	67	953700	
41	27	67	944870	
40	28	67	931869	
39	29	67	929610	9
38	30	67	924844	2
37	31	67	927980	1
36	32	67	928094	
35	33	67	936770	
34	34	67	941800	
33	35	67	958520#	
44	25	68	972840#	
43	26	68	958780#	
42	27	68	946320	
41	28	68	935610	
40	29	68	929429	3
39	30	68	926550	3
38	31	68	925573	6
37	32	68	927964	5
36	33	68	932270	
35	34	68	939560	
34	35	68	950110#	
33	36	68	965180#	
44	26	69	961460#	
43	27	69	951000	
42	28	69	936500	
41	29	69	932392	3
40	30	69	925319	3
39	31	69	926022	0
38	32	69	924247	4
37	33	69	930920	
36	34	69	933390	
35	35	69	944790#	
34	36	69	955260#	
45	26	70	966720#	
44	27	70	952900	
43	28	70	940740	
42	29	70	932676	8
41	30	70	927722	
40	31	70	924701	3
39	32	70	924951	0
38	33	70	927112	
37	34	70	932240	
36	35	70	938740	
35	36	70	949630	
34	37	70	965320#	
46	26	71	969620#	
45	27	71	957810#	
44	28	71	942090	
43	29	71	935820	3
42	30	71	926858	
41	31	71	926366	3
40	32	71	922075	8
39	33	71	926752	
38	34	71	927112	
37	35	71	936640	
36	36	71	942092	
35	37	71	959080#	
46	27	72	960240#	
45	28	72	946470#	
44	29	72	936675	
43	30	72	929780	
42	31	72	925174	7
41	32	72	923458	9
40	33	72	923825	
39	34	72	926765	
38	35	72	931690	
37	36	72	939289	
36	37	72	950560#	
35	38	72	965970#	
47	27	73	965380#	
46	28	73	948070#	
45	29	73	939875	
44	30	73	929460	
43	31	73	926946	
42	32	73	921177	8
41	33	73	923928	7
40	34	73	922476	4
39	35	73	929891	
38	36	73	933084	4
37	37	73	944265	
36	38	73	956310#	
48	27	74	968330#	
47	28	74	952870#	
46	29	74	941900	
45	30	74	932940	
44	31	74	926500	2
43	32	74	922858	9
42	33	74	921596	5
41	34	74	922523	4
40	35	74	925776	
39	36	74	930946	
38	37	74	938570	
37	38	74	949950	
48	28	75	955330#	
47	29	75	945275	
46	30	75	933290	
45	31	75	928827	6
44	32	75	921402	6
43	33	75	922394	0
42	34	75	919213	6
41	35	75	924541	
40	36	75	925910	
39	37	75	935072	2
38	38	75	941770	
37	39	75	958450#	
49	28	76	960550#	
48	29	76	947850#	
47	30	76	936960	
46	31	76	929154	3
45	32	76	923548	6
44	33	76	920647	3
43	34	76	919914	0
42	35	76	921379	
41	36	76	924670	0
40	37	76	930408	
39	38	76	937945	
38	39	76	949650#	
50	28	77	963180#	
49	29	77	951960#	
48	30	77	938440	
47	31	77	931608	2
46	32	77	922853	
45	33	77	921827	
44	34	77	917309	1
43	35	77	921146	
42	36	77	920364	8
41	37	77	928141	
40	38	77	932180	
39	39	77	943610#	
38	40	77	955230#	
50	29	78	954560#	
49	30	78	942650#	
48	31	78	932890	
47	32	78	925400	
46	33	78	920948	
45	34	78	918499	1
44	35	78	918337	1
43	36	78	920082	
42	37	78	923989	
41	38	78	929708	
40	39	78	937350	
39	40	78	949160#	
51	29	79	960870#	
50	30	79	944340	
49	31	79	936520	
48	32	79	925370	
47	33	79	922534	
46	34	79	916521	3
45	35	79	918529	3
44	36	79	916379	0
43	37	79	922519	
42	38	79	924521	
41	39	79	934280	
40	40	79	940400	
51	30	80	950480#	
50	31	80	937750	
49	32	80	928820	
48	33	80	922132	
47	34	80	917992	5
46	35	80	916290	6
45	36	80	916592	0
44	37	80	918996	
43	38	80	923212	
42	39	80	929130	
41	40	80	937210	
40	41	80	949030#	
52	30	81	954420#	
51	31	81	942990#	
50	32	81	929550	
49	33	81	924500	
48	34	81	916699	4
47	35	81	916804	1
46	36	81	913483	6
45	37	81	918208	6
44	38	81	918402	
43	39	81	926790	
42	40	81	931090#	
41	41	81	943130#	
53	30	82	961030#	
52	31	82	946980#	
51	32	82	934620#	
50	33	82	924980	
49	34	82	919118	
48	35	82	915180	
47	36	82	914136	
46	37	82	915110	
45	38	82	917557	
44	39	82	922350	
43	40	82	928650	
42	41	82	936710	
41	42	82	948740#	
53	31	83	952650#	
52	32	83	937470#	
51	33	83	929060#	
50	34	83	918462	
49	35	83	916479	
48	36	83	911507	
47	37	83	914385	
46	38	83	913425	
45	39	83	920390	
44	40	83	923250#	
43	41	83	933570#	
42	42	83	940090#	
54	31	84	957000#	
53	32	84	943030#	
52	33	84	932020#	
51	34	84	922250	
50	35	84	915608	
49	36	84	912527	3
48	37	84	911789	738
47	38	84	912933	
46	39	84	916433	
45	40	84	921470	
44	41	84	927910	
43	42	84	936550#	
42	43	84	948830#	
55	31	85	963120#	
54	32	85	946490#	
53	33	85	936500#	
52	34	85	924272	
51	35	85	918798	
50	36	85	910610	73
49	37	85	911167	42
48	38	85	909260	2
47	39	85	914886	
46	40	85	916470	
45	41	85	925040	
44	42	85	930700	
43	43	85	942880#	
55	32	86	952510#	
54	33	86	939900#	
53	34	86	928520	
52	35	86	920711	
51	36	86	913354	86
50	37	86	909180	527
49	38	86	908877	1
48	39	86	910875	7
47	40	86	914816	
46	41	86	920360	
45	42	86	927330	
44	43	86	936530#	
43	44	86	949180#	
56	32	87	956910#	
55	33	87	944940#	
54	34	87	931420	
53	35	87	924070	
52	36	87	914447	
51	37	87	911315	59
50	38	87	905612	1
49	39	87	909501	1
48	40	87	910227	
47	41	87	918330	
46	42	87	921953	
45	43	87	932680#	
44	44	87	940260#	
57	32	88	963830#	
56	33	88	949390#	
55	34	88	936450#	
54	35	88	926390	
53	36	88	917630	
52	37	88	912278	
51	38	88	907450	7
50	39	88	905848	3
49	40	88	908890	
48	41	88	913418	
47	42	88	919480	
46	43	88	927170#	
45	44	88	936110#	
44	45	88	948840#	
57	33	89	955500#	
56	34	89	939960#	
55	35	89	930630	
54	36	89	919517	
53	37	89	914802	
52	38	89	907738	
51	39	89	907151	9
50	40	89	904704	4
49	41	89	911265	
48	42	89	913937	
47	43	89	923560	
46	44	89	929890#	
45	45	89	942870#	
58	33	90	960430#	
57	34	90	945960#	
56	35	90	933970	
55	36	90	923450	
54	37	90	916537	
53	38	90	910203	
52	39	90	907305	
51	40	90	905645	8
50	41	90	906996	
49	42	90	911750	
48	43	90	918430	
47	44	90	926290#	
46	45	90	936550#	
45	46	90	949110#	
59	33	91	966800#	
58	34	91	949920#	
57	35	91	939260	
56	36	91	926156	
55	37	91	919729	
54	38	91	911038	
53	39	91	908949	
52	40	91	905040	8
51	41	91	907194	
50	42	91	906811	
49	43	91	915260	
48	44	91	920120#	
47	45	91	931980#	
46	46	91	940420#	
59	34	92	956290#	
58	35	92	943050#	
57	36	92	931270	
56	37	92	922042	
55	38	92	914026	
54	39	92	909583	
53	40	92	906476	0
52	41	92	906378	1
51	42	92	906813	
50	43	92	910249	
49	44	92	917050	
48	45	92	925740#	
47	46	92	935910#	
46	47	92	949780#	
60	34	93	960490#	
59	35	93	948680#	
58	36	93	934360#	
57	37	93	926405	
56	38	93	915361	
55	39	93	911595	
54	40	93	906315	2
53	41	93	907283	9
52	42	93	905088	3
51	43	93	909657	
50	44	93	911360	
49	45	93	921700#	
48	46	93	928770#	
47	47	93	942780#	
60	35	94	952870#	
59	36	94	939840#	
58	37	94	929303	
57	38	94	919359	
56	39	94	912821	
55	40	94	908042	6
54	41	94	906835	8
53	42	94	905842	1
52	43	94	907657	
51	44	94	910413	
50	45	94	915900	
49	46	94	924690#	
48	47	94	935480#	
